股票代號,股票名稱,股數變動
0,ADVANCED MICRO DEVICES.AMD US(超微半導體公司),80.0
1,CASH,-180.0
1,MICRON TECHNOLOGY INC,200.0
1,聖暉*,430.0
1,臻鼎-KY,-370.0
1303,南亞,690.0
2,KIOXIA HOLDINGS CORP,90.0
2,國巨,6820.0
2,國巨*,-90.0
2,國巨股份,190.0
2059,川湖,4850.0
2303,聯電,369.99999999999955
2308,台達電,-170.0
2330,台灣積體電路,-4430.0
2345,智邦,-80.0
2357,華碩,-30.0
2376,技嘉,20.0
2382,廣達,-100.0
2383,台光電,2120.0
2395,研華,-50.0
2408,南亞科,530.0
2412,中華電,-60.0
2454,聯發科,-220.0
2881,富邦金,10.0
2891,中信金,-100.0
3,SANDISK CORP,160.0
3,亞翔,220.0
3,光紅建聖,3280.0
3008,大立光,-570.0
3017,奇鋐,-140.0
3037,欣興,1390.0
3443,創意,-20.0
3665,貿聯,350.0
3711,ASE,3690.0
4,APPLIED MATERIALS INC,410.0
4,國巨*,-40.0
4,臻鼎-KY,-190.0
4,鴻勁,-40.0
5,SAMSUNG ELECTRO-MECHANICS CO(009150 KS),-50.0
6,MURATA MANUFACTURING CO LTD,-30.0
6,立隆電子,4300.0
6,臻鼎-KY,2840.0
6,臻鼎科技控股,-50.0
6223,旺矽,-1210.0000000000005
6274,台燿,40.0
6488,環球晶,-450.0
6669,緯穎,70.0
7,BLOOM ENERGY CORP- A,3620.0
7,世芯電子,60.0
7,藥華醫藥,70.0
7,高力,4650.0
8,文曄科技,-110.0
8,臻鼎-KY,-20.0
8,華邦電,210.0
8046,南電,1020.0
9,國巨*,-60.0
9,晶技,-20.0
9,穩懋,-40.0
9,統一,-40.0
9,聯亞,3480.0
