股票名稱,權重(%),權重增加比例,ETF名稱,ETF代號
LUMENTUM HOLDINGS INC,2.86,2.86,統一全球創新,00988A
國巨*,8.67,8.67,統一台股增長,00981A
聖暉*,8.73,8.73,群益台灣強棒,00982A
台指期貨,2.28,2.28,安聯台灣高息成長,00984A
弘塑科技,2.79,2.79,野村台灣50,00985A
世芯電子,2.51,2.51,野村台灣50,00985A
臻鼎科技控股,2.5,2.5,野村台灣50,00985A
川湖,2.37,2.37,野村台灣50,00985A
大立光,4.2,4.2,群益科技創新,00992A
華邦電子,4.52,4.52,安聯台灣,00993A
國巨*,6.89,6.89,第一金台股優選,00994A
奇鋐,3.61,3.61,第一金台股優選,00994A
國巨*,5.28,5.28,中信台灣卓越,00995A
國巨,8.43,8.43,兆豐台灣豐收,00996A
國巨,3.83,3.83,國泰動能高息,00400A
信 驊,2.87,2.87,國泰動能高息,00400A
CASH,8.03,8.03,摩根台灣鑫收,00401A
中國信託金融控股,2.37,2.37,摩根台灣鑫收,00401A
